data,id_campanha,nome_campanha,utm_source,utm_campaign,impressoes,cliques,gasto
2025-01-01,M-001,Awareness_Geral,facebook,awareness_geral,9523,190,288.29
2025-01-02,M-001,Awareness_Geral,facebook,awareness_geral,7530,150,327.13
2025-01-03,M-001,Awareness_Geral,facebook,awareness_geral,6086,121,213.75
2025-01-04,M-001,Awareness_Geral,facebook,awareness_geral,7091,141,229.38
2025-01-05,M-001,Awareness_Geral,facebook,awareness_geral,6575,131,272.78
2025-01-06,M-001,Awareness_Geral,facebook,awareness_geral,7399,147,285.42
2025-01-07,M-001,Awareness_Geral,facebook,awareness_geral,6942,138,341.13
2025-01-08,M-001,Awareness_Geral,facebook,awareness_geral,6671,133,309.84
2025-01-09,M-001,Awareness_Geral,facebook,awareness_geral,7698,153,226.07
2025-01-10,M-001,Awareness_Geral,facebook,awareness_geral,8343,166,211.85
2025-01-11,M-001,Awareness_Geral,facebook,awareness_geral,8611,172,351.55
2025-01-12,M-001,Awareness_Geral,facebook,awareness_geral,8331,166,348.78
2025-01-13,M-001,Awareness_Geral,facebook,awareness_geral,6803,136,340.63
2025-01-14,M-001,Awareness_Geral,facebook,awareness_geral,8361,167,267.74
2025-01-15,M-001,Awareness_Geral,facebook,awareness_geral,9564,191,169.01
2025-01-16,M-001,Awareness_Geral,facebook,awareness_geral,8091,161,200.62
2025-01-17,M-001,Awareness_Geral,facebook,awareness_geral,7481,149,259.58
2025-01-18,M-001,Awareness_Geral,facebook,awareness_geral,7470,149,325.66
2025-01-19,M-001,Awareness_Geral,facebook,awareness_geral,7672,153,280.39
2025-01-20,M-001,Awareness_Geral,facebook,awareness_geral,8005,160,288.27
2025-01-21,M-001,Awareness_Geral,facebook,awareness_geral,7197,143,291.94
2025-01-22,M-001,Awareness_Geral,facebook,awareness_geral,8257,165,296.28
2025-01-23,M-001,Awareness_Geral,facebook,awareness_geral,10463,209,290.38
2025-01-24,M-001,Awareness_Geral,facebook,awareness_geral,9142,182,337.6
